Status,#,Category,Criteria,Control Activities Specified by the Service Organization,Tests Applied by the Service Auditor,Changes
,1,Control Environment,CC1.1,"Core values are communicated from executive management to personnel through policies, procedures, the code of conduct and the employee handbook.","Inspected the employee handbook, code of conduct policies and procedures, information security policies and procedures and the entity's intranet to determine that core values were communicated from executive management to personnel through policies, procedures, the code of conduct and the employee handbook.",
,2,Control Environment,CC1.1,An employee handbook and code of conduct are documented to communicate workforce conduct standards and enforcement procedures.,Inspected the employee handbook and code of conduct policies and procedures to determine that an employee handbook and code of conduct were documented to communicate workforce conduct standards and enforcement procedures.,
,3,Control Environment,CC1.1,"Upon hire, personnel are required to acknowledge the employee handbook and code of conduct.","Inspected the signed employee handbook and code of conduct acknowledgement for a sample of new hires to determine that upon hire, personnel were required to acknowledge the employee handbook and code of conduct.",
,4,Control Environment,CC1.1,"Upon hire, personnel are required to complete a background check.","Inspected the background check policies and procedures and the completed background check for a sample of new hires to determine that upon hire, personnel were required to complete a background check. ",
,5,Control Environment,CC1.1,"Upon hire, personnel are required to sign a confidentiality agreement.","Inspected the signed confidentiality agreement for a sample of new hires to determine that upon hire, personnel were required to sign a confidentiality agreement.",
,6,Control Environment,CC1.1,Personnel are required to acknowledge the employee handbook and code of conduct on an annual basis.,Inspected the signed employee handbook and code of conduct acknowledgement for a sample of current employees to determine that personnel were required to acknowledge the employee handbook and code of conduct on an annual basis.,
,7,Control Environment,CC1.1,Performance and conduct evaluations are performed for personnel on an annual basis.,Inspected the completed performance and conduct evaluation form for a sample of current employees to determine that performance and conduct evaluations were performed for personnel on an annual basis.,
,8,Control Environment,CC1.1,"Sanction policies, which include probation, suspension, and termination, are in place for employee misconduct.","Inspected the sanction policies within the employee handbook to determine that sanction policies, which included probation, suspension, and termination, were in place for employee misconduct.",
,9,Control Environment,CC1.1,"An anonymous hotline is in place to allow employees, third parties, and customers to report unethical behavior in a confidential manner.","Inspected the anonymous hotline number as posted on the entity’s website and the hotline procedures to determine that an anonymous hotline was in place to allow employees, third parties, and customers to report unethical behavior in a confidential manner.",
,10,Control Environment,CC1.2,Executive management defines and documents the skills and expertise needed among its members.,Inspected the executive management job descriptions to determine that executive management defined and documented the skills and expertise needed among its members.,
,11,Control Environment,CC1.2,Executive management roles and responsibilities are documented and reviewed annually.,Inspected the executive management job descriptions including revision dates to determine that executive management roles and responsibilities were documented and reviewed annually.,
,12,Control Environment,CC1.2,A Board of Directors is in place to maintain independence and provide oversight of company objectives.,Inquired of the GRC Team Contractor to determine that a Board of Directors was in place to maintain independence and provide oversight of company objectives.,
,,,,,Inspected the leadership profiles of the Board of Directors to determine that a Board of Directors was in place to maintain independence and provide oversight of company objectives.,
,13,Control Environment,CC1.2,"Quarterly, the Board of Directors meets to discuss operational objectives and establish company direction.",Inquired of the GRC Team Contractor to determine that the Board of Directors met on a quarterly basis to discuss operational objectives and establish company direction.,
