1,1-GOVERN,,GV,GV
2,GOVERN,Organizational Context,GV.OC,GV.OC
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood (formerly ID.BE)",GV.OC-01,"GV.OC-01: The organizational mission is understood and informs cybersecurity risk management (formerly ID.BE-02, ID.BE-03)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood (formerly ID.BE)",GV.OC-02,"GV.OC-02: Internal and external stakeholders are determined, and their needs and expectations regarding cybersecurity risk management are understood"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood (formerly ID.BE)",GV.OC-03,"GV.OC-03: Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed (formerly ID.GV-03)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood (formerly ID.BE)",GV.OC-04,"GV.OC-04: Critical objectives, capabilities, and services that stakeholders depend on or expect from the organization are determined and communicated (formerly ID.BE-04, ID.BE-05)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Organizational Context (GV.OC): The circumstances - mission, stakeholder expectations, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood (formerly ID.BE)",GV.OC-05,"GV.OC-05: Outcomes, capabilities, and services that the organization depends on are determined and communicated (formerly ID.BE-01, ID.BE-04)"
2,GOVERN,Risk Management Strategy,GV.RM,GV.RM
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-01,GV.RM-01: Risk management objectives are established and agreed to by organizational stakeholders (formerly ID.RM-01)
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-02,"GV.RM-02: Risk appetite and risk tolerance statements are determined, communicated, and maintained (formerly ID.RM-02, ID.RM-03)"
